,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,experiment,hid,pid,sid
1613,214.523999929,3917.9849999,65.3294000626,0.0266001224518,0.328899860382,exp6,bu.edu,pilot.0093,rp.session.radical.mturilli.017092.0005
1614,245.245999813,3887.26300001,65.3294000626,0.0266001224518,0.328899860382,exp6,bu.edu,pilot.0094,rp.session.radical.mturilli.017092.0005
1615,300.517999887,3831.99099994,65.3294000626,0.0266001224518,0.328899860382,exp6,local,pilot.0095,rp.session.radical.mturilli.017092.0005
1616,223.428099871,3909.08089995,65.3294000626,0.0266001224518,0.328899860382,exp6,bu.edu,pilot.0096,rp.session.radical.mturilli.017092.0005
1617,251.371599913,3881.13739991,65.3294000626,0.0266001224518,0.328899860382,exp6,bu.edu,pilot.0097,rp.session.radical.mturilli.017092.0005
1618,214.422099829,3918.0869,65.3294000626,0.0266001224518,0.328899860382,exp6,bu.edu,pilot.0098,rp.session.radical.mturilli.017092.0005
1619,283.429899931,3849.07909989,65.3294000626,0.0266001224518,0.328899860382,exp6,bu.edu,pilot.0099,rp.session.radical.mturilli.017092.0005
1620,276.852399826,3855.6566,65.3294000626,0.0266001224518,0.328899860382,exp6,bu.edu,pilot.0100,rp.session.radical.mturilli.017092.0005
1621,191.863299847,3940.64569998,65.3294000626,0.0266001224518,0.328899860382,exp6,bu.edu,pilot.0101,rp.session.radical.mturilli.017092.0005
1622,199.927199841,3932.58179998,65.3294000626,0.0266001224518,0.328899860382,exp6,bu.edu,pilot.0102,rp.session.radical.mturilli.017092.0005
1623,275.133299828,3857.3757,65.3294000626,0.0266001224518,0.328899860382,exp6,bu.edu,pilot.0103,rp.session.radical.mturilli.017092.0005
1624,250.272799969,3882.23619986,65.3294000626,0.0266001224518,0.328899860382,exp6,bu.edu,pilot.0104,rp.session.radical.mturilli.017092.0005
1625,226.125699997,3906.38329983,65.3294000626,0.0266001224518,0.328899860382,exp6,bu.edu,pilot.0105,rp.session.radical.mturilli.017092.0005
1626,202.683599949,3929.82539988,65.3294000626,0.0266001224518,0.328899860382,exp6,bu.edu,pilot.0106,rp.session.radical.mturilli.017092.0005
1627,217.518799782,3914.99020004,65.3294000626,0.0266001224518,0.328899860382,exp6,bu.edu,pilot.0107,rp.session.radical.mturilli.017092.0005
1628,219.590399981,3912.91859984,65.3294000626,0.0266001224518,0.328899860382,exp6,bu.edu,pilot.0108,rp.session.radical.mturilli.017092.0005
1629,221.608899832,3910.90009999,65.3294000626,0.0266001224518,0.328899860382,exp6,bu.edu,pilot.0109,rp.session.radical.mturilli.017092.0005
1630,203.933699846,3928.57529998,65.3294000626,0.0266001224518,0.328899860382,exp6,bu.edu,pilot.0110,rp.session.radical.mturilli.017092.0005
1631,224.76699996,3907.74199986,65.3294000626,0.0266001224518,0.328899860382,exp6,bu.edu,pilot.0111,rp.session.radical.mturilli.017092.0005
1632,250.77609992,3881.7328999,65.3294000626,0.0266001224518,0.328899860382,exp6,bu.edu,pilot.0112,rp.session.radical.mturilli.017092.0005
1633,283.611399889,3848.89759994,65.3294000626,0.0266001224518,0.328899860382,exp6,hep.wisc.edu,pilot.0113,rp.session.radical.mturilli.017092.0005
1634,305.237099886,3827.27189994,65.3294000626,0.0266001224518,0.328899860382,exp6,tusker.hcc.unl.edu,pilot.0114,rp.session.radical.mturilli.017092.0005
1635,267.871399879,3627.00340009,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0115,rp.session.radical.mturilli.017092.0005
1636,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0116,rp.session.radical.mturilli.017092.0005
1637,225.48849988,3907.02049994,65.3294000626,0.0266001224518,0.328899860382,exp6,iu.edu,pilot.0117,rp.session.radical.mturilli.017092.0005
1638,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0118,rp.session.radical.mturilli.017092.0005
1639,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0119,rp.session.radical.mturilli.017092.0005
1640,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0120,rp.session.radical.mturilli.017092.0005
1641,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0121,rp.session.radical.mturilli.017092.0005
1642,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0122,rp.session.radical.mturilli.017092.0005
1643,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0123,rp.session.radical.mturilli.017092.0005
1644,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0124,rp.session.radical.mturilli.017092.0005
1645,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0125,rp.session.radical.mturilli.017092.0005
1646,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0126,rp.session.radical.mturilli.017092.0005
1647,,,65.3294000626,0.0266001224518,0.328899860382,exp6,xd-login.opensciencegrid.org,pilot.0127,rp.session.radical.mturilli.017092.0005
1648,179.89049983,4067.34120011,67.6737999916,0.095400094986,0.353600025177,exp6,CRUSH.OSG,pilot.0000,rp.session.radical.mturilli.017093.0000
1649,258.814999819,3988.41670012,67.6737999916,0.095400094986,0.353600025177,exp6,CRUSH.OSG,pilot.0001,rp.session.radical.mturilli.017093.0000
